PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
693,Yes,Third Class,"Lam, Mr. Ali",male,,0,0,1601,56.4958,,S
698,Yes,Third Class,"Mullens, Miss. Katherine ""Katie""",female,,0,0,35852,7.7333,,Q
701,Yes,First Class,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18,1,0,PC 17757,227.525,C62 C64,C
702,Yes,First Class,"Silverthorne, Mr. Spencer Victor",male,35,0,0,PC 17475,26.2875,E24,S
707,Yes,Second Class,"Kelly, Mrs. Florence ""Fannie""",female,45,0,0,223596,13.5,,S
708,Yes,First Class,"Calderhead, Mr. Edward Pennington",male,42,0,0,PC 17476,26.2875,E24,S
709,Yes,First Class,"Cleaver, Miss. Alice",female,22,0,0,113781,151.55,,S
710,Yes,Third Class,"Moubarek, Master. Halim Gonios (""William George"")",male,,1,1,2661,15.2458,,C
711,Yes,First Class,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24,0,0,PC 17482,49.5042,C90,C
713,Yes,First Class,"Taylor, Mr. Elmer Zebley",male,48,1,0,19996,52,C126,S
717,Yes,First Class,"Endres, Miss. Caroline Louise",female,38,0,0,PC 17757,227.525,C45,C
718,Yes,Second Class,"Troutt, Miss. Edwina Celia ""Winnie""",female,27,0,0,34218,10.5,E101,S
721,Yes,Second Class,"Harper, Miss. Annie Jessie ""Nina""",female,6,0,1,248727,33,,S
725,Yes,First Class,"Chambers, Mr. Norman Campbell",male,27,1,0,113806,53.1,E8,S
727,Yes,Second Class,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30,3,0,31027,21,,S
728,Yes,Third Class,"Mannion, Miss. Margareth",female,,0,0,36866,7.7375,,Q
731,Yes,First Class,"Allen, Miss. Elisabeth Walton",female,29,0,0,24160,211.3375,B5,S
738,Yes,First Class,"Lesurer, Mr. Gustave J",male,35,0,0,PC 17755,512.3292,B101,C
741,Yes,First Class,"Hawksford, Mr. Walter James",male,,0,0,16988,30,D45,S
743,Yes,First Class,"Ryerson, Miss. Susan Parker ""Suzette""",female,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C
745,Yes,Third Class,"Stranden, Mr. Juho",male,31,0,0,STON/O 2. 3101288,7.925,,S
748,Yes,Second Class,"Sinkkonen, Miss. Anna",female,30,0,0,250648,13,,S
751,Yes,Second Class,"Wells, Miss. Joan",female,4,1,1,29103,23,,S
752,Yes,Third Class,"Moor, Master. Meier",male,6,0,1,392096,12.475,E121,S
755,Yes,Second Class,"Herman, Mrs. Samuel (Jane Laver)",female,48,1,2,220845,65,,S
756,Yes,Second Class,"Hamalainen, Master. Viljo",male,0.67,1,1,250649,14.5,,S
760,Yes,First Class,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33,0,0,110152,86.5,B77,S
763,Yes,Third Class,"Barah, Mr. Hanna Assi",male,20,0,0,2663,7.2292,,C
764,Yes,First Class,"Carter, Mrs. William Ernest (Lucile Polk)",female,36,1,2,113760,120,B96 B98,S
766,Yes,First Class,"Hogeboom, Mrs. John C (Anna Andrews)",female,51,1,0,13502,77.9583,D11,S
775,Yes,Second Class,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,54,1,3,29105,23,,S
778,Yes,Third Class,"Emanuel, Miss. Virginia Ethel",female,5,0,0,364516,12.475,,S
780,Yes,First Class,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43,0,1,24160,211.3375,B3,S
781,Yes,Third Class,"Ayoub, Miss. Banoura",female,13,0,0,2687,7.2292,,C
782,Yes,First Class,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17,1,0,17474,57,B20,S
787,Yes,Third Class,"Sjoblom, Miss. Anna Sofia",female,18,0,0,3101265,7.4958,,S
789,Yes,Third Class,"Dean, Master. Bertram Vere",male,1,1,2,C.A. 2315,20.575,,S
797,Yes,First Class,"Leader, Dr. Alice (Farnham)",female,49,0,0,17465,25.9292,D17,S
798,Yes,Third Class,"Osman, Mrs. Mara",female,31,0,0,349244,8.6833,,S
802,Yes,Second Class,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,31,1,1,C.A. 31921,26.25,,S
803,Yes,First Class,"Carter, Master. William Thornton II",male,11,1,2,113760,120,B96 B98,S
804,Yes,Third Class,"Thomas, Master. Assad Alexander",male,0.42,0,1,2625,8.5167,,C
805,Yes,Third Class,"Hedman, Mr. Oskar Arvid",male,27,0,0,347089,6.975,,S
810,Yes,First Class,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33,1,0,113806,53.1,E8,S
821,Yes,First Class,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52,1,1,12749,93.5,B69,S
822,Yes,Third Class,"Lulic, Mr. Nikola",male,27,0,0,315098,8.6625,,S
824,Yes,Third Class,"Moor, Mrs. (Beila)",female,27,0,1,392096,12.475,E121,S
828,Yes,Second Class,"Mallet, Master. Andre",male,1,0,2,S.C./PARIS 2079,37.0042,,C
829,Yes,Third Class,"McCormack, Mr. Thomas Joseph",male,,0,0,367228,7.75,,Q
830,Yes,First Class,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62,0,0,113572,80,B28,
831,Yes,Third Class,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15,1,0,2659,14.4542,,C
832,Yes,Second Class,"Richards, Master. George Sibley",male,0.83,1,1,29106,18.75,,S
836,Yes,First Class,"Compton, Miss. Sara Rebecca",female,39,1,1,PC 17756,83.1583,E49,C
839,Yes,Third Class,"Chip, Mr. Chang",male,32,0,0,1601,56.4958,,S
840,Yes,First Class,"Marechal, Mr. Pierre",male,,0,0,11774,29.7,C47,C
843,Yes,First Class,"Serepeca, Miss. Augusta",female,30,0,0,113798,31,,C
850,Yes,First Class,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,,1,0,17453,89.1042,C92,C
854,Yes,First Class,"Lines, Miss. Mary Conover",female,16,0,1,PC 17592,39.4,D28,S
856,Yes,Third Class,"Aks, Mrs. Sam (Leah Rosen)",female,18,0,1,392091,9.35,,S
857,Yes,First Class,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45,1,1,36928,164.8667,,S
858,Yes,First Class,"Daly, Mr. Peter Denis ",male,51,0,0,113055,26.55,E17,S
859,Yes,Third Class,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24,0,3,2666,19.2583,,C
863,Yes,First Class,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48,0,0,17466,25.9292,D17,S
866,Yes,Second Class,"Bystrom, Mrs. (Karolina)",female,42,0,0,236852,13,,S
867,Yes,Second Class,"Duran y More, Miss. Asuncion",female,27,1,0,SC/PARIS 2149,13.8583,,C
870,Yes,Third Class,"Johnson, Master. Harold Theodor",male,4,1,1,347742,11.1333,,S
872,Yes,First Class,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47,1,1,11751,52.5542,D35,S
875,Yes,Second Class,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28,1,0,P/PP 3381,24,,C
876,Yes,Third Class,"Najib, Miss. Adele Kiamie ""Jane""",female,15,0,0,2667,7.225,,C
880,Yes,First Class,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56,0,1,11767,83.1583,C50,C
881,Yes,Second Class,"Shelley, Mrs. William (Imanita Parrish Hall)",female,25,0,1,230433,26,,S
888,Yes,First Class,"Graham, Miss. Margaret Edith",female,19,0,0,112053,30,B42,S
890,Yes,First Class,"Behr, Mr. Karl Howell",male,26,0,0,111369,30,C148,C
1,No,Third Class,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S
5,No,Third Class,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,,S
6,No,Third Class,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q
7,No,First Class,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S
8,No,Third Class,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S
13,No,Third Class,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S
14,No,Third Class,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,,S
15,No,Third Class,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S
17,No,Third Class,"Rice, Master. Eugene",male,2,4,1,382652,29.125,,Q
19,No,Third Class,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S
21,No,Second Class,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,S
25,No,Third Class,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S
27,No,Third Class,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C
28,No,First Class,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S
30,No,Third Class,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S
31,No,First Class,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C
34,No,Second Class,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S
35,No,First Class,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C
36,No,First Class,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,S
38,No,Third Class,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,,S
39,No,Third Class,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S
41,No,Third Class,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,,S
42,No,Second Class,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,,S
43,No,Third Class,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C
46,No,Third Class,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S
47,No,Third Class,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q
49,No,Third Class,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C
50,No,Third Class,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,17.8,,S
51,No,Third Class,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,,S
52,No,Third Class,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,,S
55,No,First Class,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,B30,C
58,No,Third Class,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C
60,No,Third Class,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,,S
61,No,Third Class,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,,C
63,No,First Class,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,83.475,C83,S
64,No,Third Class,"Skoog, Master. Harald",male,4,3,2,347088,27.9,,S
65,No,First Class,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C
68,No,Third Class,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,,S
70,No,Third Class,"Kink, Mr. Vincenz",male,26,2,0,315151,8.6625,,S
71,No,Second Class,"Jenkin, Mr. Stephen Curnow",male,32,0,0,C.A. 33111,10.5,,S
72,No,Third Class,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,,S
73,No,Second Class,"Hood, Mr. Ambrose Jr",male,21,0,0,S.O.C. 14879,73.5,,S
74,No,Third Class,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,14.4542,,C
76,No,Third Class,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S
77,No,Third Class,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S
78,No,Third Class,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S
81,No,Third Class,"Waelens, Mr. Achille",male,22,0,0,345767,9,,S
84,No,First Class,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,,S
87,No,Third Class,"Ford, Mr. William Neal",male,16,1,3,W./C. 6608,34.375,,S
88,No,Third Class,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S
90,No,Third Class,"Celotti, Mr. Francesco",male,24,0,0,343275,8.05,,S
91,No,Third Class,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,,S
92,No,Third Class,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,,S
93,No,First Class,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,E31,S
94,No,Third Class,"Dean, Mr. Bertram Frank",male,26,1,2,C.A. 2315,20.575,,S
95,No,Third Class,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,,S
96,No,Third Class,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S
97,No,First Class,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,C
100,No,Second Class,"Kantor, Mr. Sinai",male,34,1,0,244367,26,,S
101,No,Third Class,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,,S
102,No,Third Class,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S
103,No,First Class,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S
104,No,Third Class,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,8.6542,,S
105,No,Third Class,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,,S
106,No,Third Class,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,7.8958,,S
109,No,Third Class,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,,S
111,No,First Class,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S
112,No,Third Class,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C
113,No,Third Class,"Barton, Mr. David John",male,22,0,0,324669,8.05,,S
114,No,Third Class,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,,S
115,No,Third Class,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,,C
116,No,Third Class,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,,S
117,No,Third Class,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q
118,No,Second Class,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,,S
119,No,First Class,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,B58 B60,C
120,No,Third Class,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S
121,No,Second Class,"Hickman, Mr. Stanley George",male,21,2,0,S.O.C. 14879,73.5,,S
122,No,Third Class,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S
123,No,Second Class,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C
125,No,First Class,"White, Mr. Percival Wayland",male,54,0,1,35281,77.2875,D26,S
127,No,Third Class,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q
130,No,Third Class,"Ekstrom, Mr. Johan",male,45,0,0,347061,6.975,,S
131,No,Third Class,"Drazenoic, Mr. Jozef",male,33,0,0,349241,7.8958,,C
132,No,Third Class,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S
133,No,Third Class,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,,S
135,No,Second Class,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,,S
136,No,Second Class,"Richard, Mr. Emile",male,23,0,0,SC/PARIS 2133,15.0458,,C
138,No,First Class,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,C123,S
139,No,Third Class,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,,S
140,No,First Class,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,C
141,No,Third Class,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C
144,No,Third Class,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,,Q
145,No,Second Class,"Andrew, Mr. Edgardo Samuel",male,18,0,0,231945,11.5,,S
146,No,Second Class,"Nicholls, Mr. Joseph Charles",male,19,1,1,C.A. 33112,36.75,,S
148,No,Third Class,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,,S
149,No,Second Class,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26,F2,S
150,No,Second Class,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,,S
151,No,Second Class,"Bateman, Rev. Robert James",male,51,0,0,S.O.P. 1166,12.525,,S
153,No,Third Class,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S
154,No,Third Class,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S
155,No,Third Class,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S
156,No,First Class,"Williams, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,,C
158,No,Third Class,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,,S
159,No,Third Class,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S
160,No,Third Class,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S
161,No,Third Class,"Cribb, Mr. John Hatfield",male,44,0,1,371362,16.1,,S
163,No,Third Class,"Bengtsson, Mr. John Viktor",male,26,0,0,347068,7.775,,S
164,No,Third Class,"Calic, Mr. Jovo",male,17,0,0,315093,8.6625,,S
165,No,Third Class,"Panula, Master. Eino Viljami",male,1,4,1,3101295,39.6875,,S
168,No,Third Class,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,,S
169,No,First Class,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S
170,No,Third Class,"Ling, Mr. Lee",male,28,0,0,1601,56.4958,,S
171,No,First Class,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,33.5,B19,S
172,No,Third Class,"Rice, Master. Arthur",male,4,4,1,382652,29.125,,Q
174,No,Third Class,"Sivola, Mr. Antti Wilhelm",male,21,0,0,STON/O 2. 3101280,7.925,,S
175,No,First Class,"Smith, Mr. James Clinch",male,56,0,0,17764,30.6958,A7,C
176,No,Third Class,"Klasen, Mr. Klas Albin",male,18,1,1,350404,7.8542,,S
177,No,Third Class,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S
178,No,First Class,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,28.7125,C49,C
179,No,Second Class,"Hale, Mr. Reginald",male,30,0,0,250653,13,,S
180,No,Third Class,"Leonard, Mr. Lionel",male,36,0,0,LINE,0,,S
181,No,Third Class,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S
182,No,Second Class,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C
183,No,Third Class,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,,S
186,No,First Class,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50,A32,S
189,No,Third Class,"Bourke, Mr. John",male,40,1,1,364849,15.5,,Q
190,No,Third Class,"Turcin, Mr. Stjepan",male,36,0,0,349247,7.8958,,S
192,No,Second Class,"Carbines, Mr. William",male,19,0,0,28424,13,,S
197,No,Third Class,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q
198,No,Third Class,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,8.4042,,S
200,No,Second Class,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,248747,13,,S
201,No,Third Class,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,9.5,,S
202,No,Third Class,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S
203,No,Third Class,"Johanson, Mr. Jakob Alfred",male,34,0,0,3101264,6.4958,,S
204,No,Third Class,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C
206,No,Third Class,"Strom, Miss. Telma Matilda",female,2,0,1,347054,10.4625,G6,S
207,No,Third Class,"Backstrom, Mr. Karl Alfred",male,32,1,0,3101278,15.85,,S
211,No,Third Class,"Ali, Mr. Ahmed",male,24,0,0,SOTON/O.Q. 3101311,7.05,,S
213,No,Third Class,"Perkin, Mr. John Henry",male,22,0,0,A/5 21174,7.25,,S
214,No,Second Class,"Givard, Mr. Hans Kristensen",male,30,0,0,250646,13,,S
215,No,Third Class,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,,Q
218,No,Second Class,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0,243847,27,,S
220,No,Second Class,"Harris, Mr. Walter",male,30,0,0,W/C 14208,10.5,,S
222,No,Second Class,"Bracken, Mr. James H",male,27,0,0,220367,13,,S
223,No,Third Class,"Green, Mr. George Henry",male,51,0,0,21440,8.05,,S
224,No,Third Class,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,,S
226,No,Third Class,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,PP 4348,9.35,,S
228,No,Third Class,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,,S
229,No,Second Class,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,236171,13,,S
230,No,Third Class,"Lefebre, Miss. Mathilde",female,,3,1,4133,25.4667,,S
232,No,Third Class,"Larsson, Mr. Bengt Edvin",male,29,0,0,347067,7.775,,S
233,No,Second Class,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,237442,13.5,,S
235,No,Second Class,"Leyson, Mr. Robert William Norman",male,24,0,0,C.A. 29566,10.5,,S
236,No,Third Class,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609,7.55,,S
237,No,Second Class,"Hold, Mr. Stephen",male,44,1,0,26707,26,,S
239,No,Second Class,"Pengelly, Mr. Frederick William",male,19,0,0,28665,10.5,,S
240,No,Second Class,"Hunt, Mr. George Henry",male,33,0,0,SCO/W 1585,12.275,,S
241,No,Third Class,"Zabour, Miss. Thamine",female,,1,0,2665,14.4542,,C
243,No,Second Class,"Coleridge, Mr. Reginald Charles",male,29,0,0,W./C. 14263,10.5,,S
244,No,Third Class,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,STON/O 2. 3101275,7.125,,S
245,No,Third Class,"Attalah, Mr. Sleiman",male,30,0,0,2694,7.225,,C
246,No,First Class,"Minahan, Dr. William Edward",male,44,2,0,19928,90,C78,Q
247,No,Third Class,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,347071,7.775,,S
250,No,Second Class,"Carter, Rev. Ernest Courtenay",male,54,1,0,244252,26,,S
251,No,Third Class,"Reed, Mr. James George",male,,0,0,362316,7.25,,S
252,No,Third Class,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,10.4625,G6,S
253,No,First Class,"Stead, Mr. William Thomas",male,62,0,0,113514,26.55,C87,S
254,No,Third Class,"Lobb, Mr. William Arthur",male,30,1,0,A/5. 3336,16.1,,S
255,No,Third Class,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,370129,20.2125,,S
261,No,Third Class,"Smith, Mr. Thomas",male,,0,0,384461,7.75,,Q
263,No,First Class,"Taussig, Mr. Emil",male,52,1,1,110413,79.65,E67,S
264,No,First Class,"Harrison, Mr. William",male,40,0,0,112059,0,B94,S
265,No,Third Class,"Henry, Miss. Delia",female,,0,0,382649,7.75,,Q
266,No,Second Class,"Reeves, Mr. David",male,36,0,0,C.A. 17248,10.5,,S
267,No,Third Class,"Panula, Mr. Ernesti Arvid",male,16,4,1,3101295,39.6875,,S
271,No,First Class,"Cairns, Mr. Alexander",male,,0,0,113798,31,,S
274,No,First Class,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,29.7,C118,C
277,No,Third Class,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,347073,7.75,,S
278,No,Second Class,"Parkes, Mr. Francis ""Frank""",male,,0,0,239853,0,,S
279,No,Third Class,"Rice, Master. Eric",male,7,4,1,382652,29.125,,Q
281,No,Third Class,"Duane, Mr. Frank",male,65,0,0,336439,7.75,,Q
282,No,Third Class,"Olsson, Mr. Nils Johan Goransson",male,28,0,0,347464,7.8542,,S
283,No,Third Class,"de Pelsmaeker, Mr. Alfons",male,16,0,0,345778,9.5,,S
285,No,First Class,"Smith, Mr. Richard William",male,,0,0,113056,26,A19,S
286,No,Third Class,"Stankovic, Mr. Ivan",male,33,0,0,349239,8.6625,,C
288,No,Third Class,"Naidenoff, Mr. Penko",male,22,0,0,349206,7.8958,,S
293,No,Second Class,"Levy, Mr. Rene Jacques",male,36,0,0,SC/Paris 2163,12.875,D,C
294,No,Third Class,"Haas, Miss. Aloisia",female,24,0,0,349236,8.85,,S
295,No,Third Class,"Mineff, Mr. Ivan",male,24,0,0,349233,7.8958,,S
296,No,First Class,"Lewy, Mr. Ervin G",male,,0,0,PC 17612,27.7208,,C
297,No,Third Class,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,,C
298,No,First Class,"Allison, Miss. Helen Loraine",female,2,1,2,113781,151.55,C22 C26,S
303,No,Third Class,"Johnson, Mr. William Cahoone Jr",male,19,0,0,LINE,0,,S
305,No,Third Class,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,,S
309,No,Second Class,"Abelson, Mr. Samuel",male,30,1,0,P/PP 3381,24,,C
313,No,Second Class,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1,250651,26,,S
314,No,Third Class,"Hendekovic, Mr. Ignjac",male,28,0,0,349243,7.8958,,S
315,No,Second Class,"Hart, Mr. Benjamin",male,43,1,1,F.C.C. 13529,26.25,,S
318,No,Second Class,"Moraweck, Dr. Ernest",male,54,0,0,29011,14,,S
321,No,Third Class,"Dennis, Mr. Samuel",male,22,0,0,A/5 21172,7.25,,S
322,No,Third Class,"Danoff, Mr. Yoto",male,27,0,0,349219,7.8958,,S
325,No,Third Class,"Sage, Mr. George John Jr",male,,8,2,CA. 2343,69.55,,S
327,No,Third Class,"Nysveen, Mr. Johan Hansen",male,61,0,0,345364,6.2375,,S
332,No,First Class,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,S
333,No,First Class,"Graham, Mr. George Edward",male,38,0,1,PC 17582,153.4625,C91,S
334,No,Third Class,"Vander Planke, Mr. Leo Edmondus",male,16,2,0,345764,18,,S
336,No,Third Class,"Denkoff, Mr. Mitto",male,,0,0,349225,7.8958,,S
337,No,First Class,"Pears, Mr. Thomas Clinton",male,29,1,0,113776,66.6,C2,S
340,No,First Class,"Blackwell, Mr. Stephen Weart",male,45,0,0,113784,35.5,T,S
343,No,Second Class,"Collander, Mr. Erik Gustaf",male,28,0,0,248740,13,,S
344,No,Second Class,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,0,244361,13,,S
345,No,Second Class,"Fox, Mr. Stanley Hubert",male,36,0,0,229236,13,,S
350,No,Third Class,"Dimic, Mr. Jovan",male,42,0,0,315088,8.6625,,S
351,No,Third Class,"Odahl, Mr. Nils Martin",male,23,0,0,7267,9.225,,S
352,No,First Class,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,113510,35,C128,S
353,No,Third Class,"Elias, Mr. Tannous",male,15,1,1,2695,7.2292,,C
354,No,Third Class,"Arnold-Franchi, Mr. Josef",male,25,1,0,349237,17.8,,S
355,No,Third Class,"Yousif, Mr. Wazli",male,,0,0,2647,7.225,,C
356,No,Third Class,"Vanden Steen, Mr. Leo Peter",male,28,0,0,345783,9.5,,S
358,No,Second Class,"Funk, Miss. Annie Clemmer",female,38,0,0,237671,13,,S
